           time            alfa          F/mass         Rx/mass         Ry/mass               g
        1.00000         0.00000   4156656.28630        82.69684         0.00006         9.80631
        2.00000         0.00000   4157256.15893       336.24583         0.00011         9.80630
        3.00000         0.00000   4158265.14085       768.72663         0.00015         9.80627
        4.00000         0.00000   4159690.42153      1388.17744         0.00018         9.80623
        5.00000         0.00000   4161538.86791      2202.71336         0.00019         9.80618
        6.00000         0.00000   4163816.99649      3220.62693         0.00019         9.80611
        7.00000         0.00000   4166530.94455      4450.46308         0.00017         9.80603
        8.00000         0.00303   4169686.07359      5898.20793         2.88028         9.80594
        9.00000         0.00265   4173287.58327      7578.33827         3.23803         9.80584
       10.00000         0.00234   4177340.75492      9497.74169         3.59099         9.80572
       11.00000         0.00209   4181849.90479     11665.94640         3.93783         9.80559
       12.00000         0.00187   4186818.81355     14092.47434         4.27721         9.80545
       13.00000         0.00169   4192250.69316     16786.63260         4.60782         9.80529
       14.00000         0.00154   4198148.15327     19757.25491         4.92835         9.80512
       15.00000         0.00140   4204513.16755     23012.40317         5.23753         9.80493
       16.00000         0.00128   4211347.04014     26559.04474         5.53413         9.80473
       17.00000         0.00118   4218650.37229     30402.73007         5.81700         9.80451
       18.00000         0.00108   4226423.02967     34547.27392         6.08500         9.80428
       19.00000         0.00100   4234664.11040     38994.53395         6.33712         9.80403
       20.00000         0.00092   4243371.91417     43744.26328         6.57239         9.80376
       21.00000         0.00085   4252543.91240     48794.11449         6.78996         9.80348
       22.00000        -0.71382   4262176.71497     54324.53116     -6287.23898         9.80318
       23.00000        -1.93605   4272265.75758     60740.79265    -18676.96396         9.80287
       24.00000        -2.91545   4282804.55851     67834.36329    -30738.44321         9.80253
       25.00000        -3.68626   4293784.60056     75436.04554    -42385.50980         9.80218
       26.00000        -4.27737   4305195.45431     83403.22714    -53525.77163         9.80181
       27.00000        -4.71339   4317024.91115     91621.45098    -64064.50963         9.80142
       28.00000        -5.01542   4329259.12114    100005.41691    -73907.19285         9.80102
       29.00000        -5.20174   4341882.73276    108499.12764    -82961.04066         9.80059
       30.00000        -5.28825   4354879.03247    117074.81916    -91135.93158         9.80015
       31.00000        -5.28891   4368230.08235    125730.10406    -98344.87563         9.79968
       32.00000        -5.21601   4381916.85478    134482.39192   -104504.21371         9.79920
       33.00000        -5.08042   4395919.36442    143359.11025   -109533.67326         9.79870
       34.00000        -4.89177   4410216.79902    152381.49290   -113356.38776         9.79818
       35.00000        -4.65862   4424787.65251    161538.67666   -115898.97359         9.79764
       36.00000        -4.38856   4439609.86642    170747.46490   -117091.74615         9.79708
       37.00000        -4.08833   4454660.98906    180008.08784   -116869.11149         9.79650
       38.00000        -3.76391   4469918.18541    191470.18379   -115161.67774         9.79591
       39.00000        -3.42053   4485358.04072    202613.63987   -111905.82002         9.79529
       40.00000        -3.06283   4500957.13336    213636.74993   -107046.52689         9.79465
       41.00000        -2.69489   4516692.17838    224922.81690   -100530.20931         9.79399
       42.00000        -2.32024   4532540.00176    237071.85698    -92303.93625         9.79332
       43.00000        -1.94199   4548477.45997    250916.20553    -82315.23610         9.79262
       44.00000        -1.56277   4564481.31176    267506.00339    -70512.79960         9.79190
       45.00000        -1.18476   4580528.06031    287954.27805    -56963.54569         9.79116
       46.00000        -0.80985   4596593.78977    313701.89902    -41385.32242         9.79040
       47.00000        -0.43963   4612654.01857    345713.25546    -23815.54717         9.78962
       48.00000        -0.07534   4628683.66879    384421.45902     -4281.73744         9.78882
       49.00000         0.28233   4644657.04155    434700.57189     16407.02743         9.78800
       50.00000         0.63385   4660547.22698    492432.26126     37114.96269         9.78716
       51.00000         0.98040   4676326.94069    553594.83862     57315.39030         9.78630
       52.00000         1.32329   4691969.64106    613336.86062     76987.82757         9.78542
       53.00000         1.66348   4707450.61574    664528.35279     96696.59439         9.78452
       54.00000         2.00112   4722748.37865    697025.76142    117696.21346         9.78360
       55.00000         2.33551   4737846.32847    704126.90298    139558.04302         9.78265
       56.00000         2.66739   4752732.90187    697548.82324    160732.53236         9.78169
       57.00000         2.99712   4767399.00601    687244.82467    181937.65052         9.78071
       58.00000         3.32505   4781835.88953    679748.07166    203123.46608         9.77970
       59.00000         3.65094   4796033.98790    677418.95366    226571.32252         9.77867
       60.00000         3.97414   4809982.77715    681215.19449    250643.77709         9.77762
       61.00000         4.29515   4823670.69739    689369.33314    274832.74889         9.77654
       62.00000         3.67719   4837083.62128    684625.76811    238473.08244         9.77544
       63.00000         3.12276   4850200.45468    676000.41289    204557.63796         9.77431
       64.00000         2.62615   4863000.41397    660086.32414    173176.01679         9.77315
       65.00000         2.18219   4875435.08559    638014.58160    143340.12841         9.77197
       66.00000         1.78634   4887392.54737    615079.05200    116128.29838         9.77077
       67.00000         1.43359   4898863.81199    592735.97326     91997.39926         9.76954
       68.00000         1.11937   4909850.31033    570875.52063     70721.66667         9.76828
       69.00000         0.83960   4920355.14491    549416.59288     52082.80083         9.76700
